% Model:              1D_membrane.mph
% Version:            COMSOL 6.0.0.405
% Date:               Oct 3 2022, 17:22
% Dimension:          1
% Nodes:              39
% Expressions:        1
% Description:        Line graph
% x-coordinate (m)        Dependent variable u
0                         0
2.631578947368421E-4      1.3044170821221437E-4
5.263157894736842E-4      2.5440006933711933E-4
7.894736842105263E-4      3.718750833747149E-4
0.0010526315789473684     4.828667503250012E-4
0.0013157894736842105     5.873750701879783E-4
0.0015789473684210526     6.854000429636457E-4
0.0018421052631578947     7.76941668652004E-4
0.002105263157894737      8.619999472530529E-4
0.0023684210526315787     9.405748787667926E-4
0.002631578947368421      0.0010126664631932229
0.0028947368421052633     0.0010782747005323437
0.003157894736842105      0.001137399590784155
0.0034210526315789475     0.0011900411339486573
0.0036842105263157894     0.00123619933002585
0.003947368421052632      0.0012758741790157336
0.004210526315789474      0.0013090656809183077
0.004473684210526316      0.0013357738357335726
0.004736842105263157      0.001355998643461528
0.005                     0.001369740104102174
0.005263157894736843      0.0014342277409904439
0.005526315789473685      0.0014835399088437464
0.005789473684210527      0.001517676607662083
0.0060526315789473685     0.0015366378374454526
0.00631578947368421       0.0015404235981938557
0.006578947368421052      0.0015290338899072921
0.006842105263157894      0.0015024687125857617
0.007105263157894737      0.0014607280662292648
0.007368421052631579      0.0014038119508378013
0.0076315789473684215     0.001331720366411371
0.007894736842105263      0.0012444533129499743
0.008157894736842105      0.0011420107904536107
0.008421052631578947      0.0010243927989222804
0.008684210526315789      8.915993383559839E-4
0.008947368421052631      7.436304087547203E-4
0.009210526315789475      5.804860101184903E-4
0.009473684210526316      4.0216614244729324E-4
0.009736842105263157      2.0867080574113028E-4
0.01                      0
